Date,Phase,BA,BA mean,BA max,PA1,PA1 mean,PA1 max,PA2,PA2 mean,PA2 max,PB,PB mean,PB max,SE,SE mean,SE max,ES,ES mean,ES max,PR,PR mean,PR max,SC,SC mean,SC max
14/01/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/04/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2006,FM,,,,,,,,,,,,,,,,,,,,,,,,
20/12/2006,NM,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
09/12/2007,NM,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2007,FM,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2008,FM,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2008,NM,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
16/12/2009,NM,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2009,FM,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2010,NM,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2010,FM,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2011,FM,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2011,NM,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2012,NM,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2012,FM,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2013,NM,Yes,4,8,,,,,,,,,,,,,,,,,,,,,
27/01/2013,FM,Yes,13,16,,,,,,,,,,,,,,,,,,,,,
10/02/2013,NM,Yes,4.3,10,,,,,,,,,,,,,,,,,,,,,
25/02/2013,FM,Yes,19.5,47,,,,,,,,,,,,,,,,,,,,,
11/03/2013,NM,No,0.2,1,,,,,,,,,,,,,,,,,,,,,
27/03/2013,FM,Yes,41.2,53,,,,,,,,,,,,,,,,,,,,,
10/04/2013,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
25/04/2013,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
03/11/2013,NM,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2013,FM,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2013,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
17/12/2013,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
01/01/2014,NM,Yes,8.5,25,,,,,,,,,,,,,,,,,,,,,
16/01/2014,FM,No,0,0,,,,,,,,,,,,,,,,,,,,,
30/01/2014,NM,Yes,15,35,,,,Yes,406.17,471,Yes,106.5,142,,,,Yes,22.33,35,,,,,,
14/02/2014,FM,No,0,0,No,0,0,Yes,5,7,No,0,0,,,,No,1,3,,,,,,
01/03/2014,NM,Yes,25,37,Yes,213.12,281,Yes,548,722,Yes,123.83,180,Yes,36,49,Yes,16.67,30,,,,,,
16/03/2014,FM,No,0.33,0.82,No,,,No,1,2,No,0,0,,,,,,,,,,,,
30/03/2014,NM,Yes,17.5,30,,,,Yes,5,10,No,0,0,,,,,,,,,,,,
15/04/2014,FM,Yes,0.17,1,,,,No,2,3,,,,,,,,,,,,,,,
29/04/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2014,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2014,FM,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2014,NM,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2015,FM,No,0.17,1,,,,No,0.17,1,No,0,0,,,,,,,,,,,,
20/01/2015,NM,Yes,47.67,96,Yes,164.17,322,Yes,55.83,88,Yes,227.33,422,Yes,118.33,250,,,,,,,,,
03/02/2015,FM,No,0,0,No,0.5,2,No,1.33,3,No,0,0,,0,0,,,,,,,,,
